ID_Cliente,Età,Durata_Abbonamento,Tariffa_Mensile,Dati_Consumati,Servizio_Clienti_Contatti,Churn
1,25,6,5.5,120,2,No
2,34,12,8.2,150,1,No
3,22,3,3.8,80,4,Sì
4,45,10,9.1,200,1,No
5,29,1,4.5,100,6,Sì
6,38,8,7.0,170,2,No
7,50,5,5.8,140,3,No
8,27,2,3.5,90,5,Sì
9,31,7,6.2,130,2,No
10,41,12,9.5,180,1,No
11,36,4,5.0,110,4,Sì
12,23,1,2.9,60,7,Sì
13,48,9,8.0,190,2,No
14,30,6,5.6,125,3,No
15,26,2,3.2,75,6,Sì
16,37,11,8.5,160,1,No
17,44,3,4.8,95,5,Sì
18,28,5,5.2,115,3,No
19,33,7,6.7,140,2,No
20,39,2,4.0,85,6,Sì
21,21,1,2.5,55,8,Sì
22,35,8,7.2,150,2,No
23,29,4,4.6,110,3,Sì
24,42,10,9.0,180,1,No
25,31,6,5.5,130,2,No
26,27,3,3.8,90,5,Sì
27,36,12,8.4,170,1,No
28,24,2,3.0,70,6,Sì
29,40,7,6.5,140,2,No
30,33,5,5.7,125,3,No
31,38,9,7.8,160,2,No
32,22,1,2.8,60,7,Sì
33,45,11,9.2,190,1,No
34,28,4,4.9,100,4,Sì
35,30,6,5.6,120,3,No
36,26,2,3.1,80,6,Sì
37,39,7,6.3,140,2,No
38,31,3,4.5,95,5,Sì
39,34,8,7.0,150,2,No
40,25,1,2.7,60,7,Sì
41,37,9,8.0,160,2,No
42,29,5,5.2,120,3,No
43,32,2,3.9,85,6,Sì
44,41,12,9.4,180,1,No
45,28,3,4.8,90,5,Sì
46,35,6,6.0,140,2,No
47,23,1,2.6,55,7,Sì
48,39,8,7.5,160,2,No
49,30,4,5.1,110,3,Sì
50,36,10,8.3,170,1,No
51,27,2,3.3,75,6,Sì
52,33,7,6.4,140,2,No
53,24,1,2.9,60,7,Sì
54,38,9,7.9,160,2,No
55,31,5,5.5,130,3,No
56,26,2,3.2,80,6,Sì
57,40,11,8.6,180,1,No
58,29,4,4.7,100,4,Sì
59,34,6,6.8,150,2,No
60,22,1,2.5,55,7,Sì
